PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,SG/SF,Ben McLemore (11932464),Ben McLemore,11932464,SG/SF/F/G/UTIL,3200,DET@SAC 01/10/2019 10:00PM ET,SAC,6.95
,,,,,,,,,PF/C,Harry Giles (11932473),Harry Giles,11932473,PF/C/F/UTIL,3200,DET@SAC 01/10/2019 10:00PM ET,SAC,12.53
,,,,,,,,,PG,Jose Calderon (11932477),Jose Calderon,11932477,PG/G/UTIL,3200,DET@SAC 01/10/2019 10:00PM ET,DET,9.48
,,,,,,,,,PF/C,Patrick Patterson (11932469),Patrick Patterson,11932469,PF/C/F/UTIL,3200,OKC@SA 01/10/2019 09:30PM ET,OKC,9.24
,,,,,,,,,SG/SF,Marco Belinelli (11932480),Marco Belinelli,11932480,SG/SF/F/G/UTIL,3200,OKC@SA 01/10/2019 09:30PM ET,SA,17.24
,,,,,,,,,SF,Abdel Nader (11932485),Abdel Nader,11932485,SF/F/UTIL,3200,OKC@SA 01/10/2019 09:30PM ET,OKC,5.38
,,,,,,,,,PG/SG,Tyrone Wallace (11932492),Tyrone Wallace,11932492,PG/SG/G/UTIL,3100,LAC@DEN 01/10/2019 09:00PM ET,LAC,8.23
,,,,,,,,,PG/SG,Wayne Ellington (11932496),Wayne Ellington,11932496,PG/SG/G/UTIL,3100,BOS@MIA 01/10/2019 07:00PM ET,MIA,16.12
,,,,,,,,,SF/PF,Semi Ojeleye (11932500),Semi Ojeleye,11932500,SF/PF/F/UTIL,3100,BOS@MIA 01/10/2019 07:00PM ET,BOS,7.11
,,,,,,,,,PF/C,Robert Williams (11932518),Robert Williams,11932518,PF/C/F/UTIL,3100,BOS@MIA 01/10/2019 07:00PM ET,BOS,10.92
,,,,,,,,,PF/C,Kosta Koufos (11932488),Kosta Koufos,11932488,PF/C/F/UTIL,3100,DET@SAC 01/10/2019 10:00PM ET,SAC,13.04
,,,,,,,,,PF/C,Jon Leuer (11932504),Jon Leuer,11932504,PF/C/F/UTIL,3100,DET@SAC 01/10/2019 10:00PM ET,DET,8.62
,,,,,,,,,PG/SG,Langston Galloway (11932508),Langston Galloway,11932508,PG/SG/G/UTIL,3100,DET@SAC 01/10/2019 10:00PM ET,DET,14.99
,,,,,,,,,SF/PF,Stanley Johnson (11932512),Stanley Johnson,11932512,SF/PF/F/UTIL,3100,DET@SAC 01/10/2019 10:00PM ET,DET,16.95
,,,,,,,,,C,Pau Gasol (11932516),Pau Gasol,11932516,C/UTIL,3100,OKC@SA 01/10/2019 09:30PM ET,SA,19
,,,,,,,,,SG/SF,Sindarius Thornwell (11932522),Sindarius Thornwell,11932522,SG/SF/F/G/UTIL,3000,LAC@DEN 01/10/2019 09:00PM ET,LAC,3.61
,,,,,,,,,PF/C,Johnathan Motley (11932527),Johnathan Motley,11932527,PF/C/F/UTIL,3000,LAC@DEN 01/10/2019 09:00PM ET,LAC,3.62
,,,,,,,,,C,Angel Delgado (11932531),Angel Delgado,11932531,C/UTIL,3000,LAC@DEN 01/10/2019 09:00PM ET,LAC,0
,,,,,,,,,SG,Jerome Robinson (11932533),Jerome Robinson,11932533,SG/G/UTIL,3000,LAC@DEN 01/10/2019 09:00PM ET,LAC,4.32
,,,,,,,,,PG,Milos Teodosic (11932536),Milos Teodosic,11932536,PG/G/UTIL,3000,LAC@DEN 01/10/2019 09:00PM ET,LAC,7.9
,,,,,,,,,SF/PF,Mike Scott (11932539),Mike Scott,11932539,SF/PF/F/UTIL,3000,LAC@DEN 01/10/2019 09:00PM ET,LAC,11.64
,,,,,,,,,SF/PF,Luc Richard Mbah a Moute (11932543),Luc Richard Mbah a Moute,11932543,SF/PF/F/UTIL,3000,LAC@DEN 01/10/2019 09:00PM ET,LAC,8.94
,,,,,,,,,C,Thomas Welsh (11932547),Thomas Welsh,11932547,C/UTIL,3000,LAC@DEN 01/10/2019 09:00PM ET,DEN,3.71
,,,,,,,,,PG/SG,Brandon Goodwin (11932549),Brandon Goodwin,11932549,PG/SG/G/UTIL,3000,LAC@DEN 01/10/2019 09:00PM ET,DEN,4.83
,,,,,,,,,PF,Tyler Lydon (11932553),Tyler Lydon,11932553,PF/F/UTIL,3000,LAC@DEN 01/10/2019 09:00PM ET,DEN,2.77
,,,,,,,,,SF/PF,Jarred Vanderbilt (11932556),Jarred Vanderbilt,11932556,SF/PF/F/UTIL,3000,LAC@DEN 01/10/2019 09:00PM ET,DEN,0
,,,,,,,,,SF/PF,Michael Porter Jr. (11932560),Michael Porter Jr.,11932560,SF/PF/F/UTIL,3000,LAC@DEN 01/10/2019 09:00PM ET,DEN,0
,,,,,,,,,PF,Udonis Haslem (11932564),Udonis Haslem,11932564,PF/F/UTIL,3000,BOS@MIA 01/10/2019 07:00PM ET,MIA,3.08
,,,,,,,,,PF,Yante Maten (11932567),Yante Maten,11932567,PF/F/UTIL,3000,BOS@MIA 01/10/2019 07:00PM ET,MIA,0
,,,,,,,,,SG/SF,Duncan Robinson (11932570),Duncan Robinson,11932570,SG/SF/F/G/UTIL,3000,BOS@MIA 01/10/2019 07:00PM ET,MIA,3.81
,,,,,,,,,SG/SF,Jabari Bird (11932575),Jabari Bird,11932575,SG/SF/F/G/UTIL,3000,BOS@MIA 01/10/2019 07:00PM ET,BOS,0
,,,,,,,,,PF/C,Guerschon Yabusele (11932580),Guerschon Yabusele,11932580,PF/C/F/UTIL,3000,BOS@MIA 01/10/2019 07:00PM ET,BOS,4.64
,,,,,,,,,PG/SG,PJ Dozier (11932584),PJ Dozier,11932584,PG/SG/G/UTIL,3000,BOS@MIA 01/10/2019 07:00PM ET,BOS,4.17
,,,,,,,,,PG/SG,Brad Wanamaker (11932678),Brad Wanamaker,11932678,PG/SG/G/UTIL,3000,BOS@MIA 01/10/2019 07:00PM ET,BOS,6.83
,,,,,,,,,PF/C,Skal Labissiere (11932588),Skal Labissiere,11932588,PF/C/F/UTIL,3000,DET@SAC 01/10/2019 10:00PM ET,SAC,6.41
,,,,,,,,,SF/PF,Wenyen Gabriel (11932592),Wenyen Gabriel,11932592,SF/PF/F/UTIL,3000,DET@SAC 01/10/2019 10:00PM ET,SAC,0
,,,,,,,,,PG/SG,Frank Mason III (11932596),Frank Mason III,11932596,PG/SG/G/UTIL,3000,DET@SAC 01/10/2019 10:00PM ET,SAC,11.93
,,,,,,,,,SF/PF,Troy Williams (11932600),Troy Williams,11932600,SF/PF/F/UTIL,3000,DET@SAC 01/10/2019 10:00PM ET,SAC,12.54
,,,,,,,,,PF/C,Zach Randolph (11932604),Zach Randolph,11932604,PF/C/F/UTIL,3000,DET@SAC 01/10/2019 10:00PM ET,SAC,0
,,,,,,,,,PG/SG,Keenan Evans (11932608),Keenan Evans,11932608,PG/SG/G/UTIL,3000,DET@SAC 01/10/2019 10:00PM ET,DET,0
,,,,,,,,,PG,Zach Lofton (11932612),Zach Lofton,11932612,PG/G/UTIL,3000,DET@SAC 01/10/2019 10:00PM ET,DET,1.5
